case_base,seed,scheduler,avg_relative_fct_vs_dynamic
n80_mix4L3M3S,43,ocs_eps_large_small,1.126
n80_mix4L3M3S,43,pure_ocs_ksp_greedy,1.037
n80_mix4L3M3S,43,ocs_eps_preset_greedy,1.015
n80_mix4L3M3S,43,ocs_eps_preset_dynamic_greedy,1.000
n80_mix4L3M3S,43,pure_ocs_3hop_preset,0.994
n80_mix4L3M3S,43,pure_ocs_pruned,0.994
n80_mix4L3M3S,43,ocs_eps_pruned,1.015
n80_mix4L3M3S,44,ocs_eps_global_ksp,1.324
n80_mix4L3M3S,44,pure_ocs_ksp,1.034
n80_mix4L3M3S,44,eps_ecmp,0.948
n80_mix4L3M3S,44,ocs_eps_large_small,1.441
n80_mix4L3M3S,44,pure_ocs_ksp_greedy,1.003
n80_mix4L3M3S,44,ocs_eps_preset_greedy,1.039
n80_mix4L3M3S,44,ocs_eps_preset_dynamic_greedy,1.000
n80_mix4L3M3S,44,pure_ocs_3hop_preset,1.020
n80_mix4L3M3S,44,pure_ocs_pruned,1.020
n80_mix4L3M3S,44,ocs_eps_pruned,0.969
n80_mix4L3M3S,45,ocs_eps_global_ksp,1.207
n80_mix4L3M3S,45,pure_ocs_ksp,1.055
n80_mix4L3M3S,45,eps_ecmp,0.980
n80_mix4L3M3S,45,ocs_eps_large_small,1.082
n80_mix4L3M3S,45,pure_ocs_ksp_greedy,1.012
n80_mix4L3M3S,45,ocs_eps_preset_greedy,1.001
n80_mix4L3M3S,45,ocs_eps_preset_dynamic_greedy,1.000
n80_mix4L3M3S,45,pure_ocs_3hop_preset,0.986
n80_mix4L3M3S,45,pure_ocs_pruned,0.986
n80_mix4L3M3S,45,ocs_eps_pruned,0.972
n80_mix4L3M3S,46,ocs_eps_global_ksp,1.360
n80_mix4L3M3S,46,pure_ocs_ksp,1.066
n80_mix4L3M3S,46,eps_ecmp,1.029
n80_mix4L3M3S,46,ocs_eps_large_small,1.206
n80_mix4L3M3S,46,pure_ocs_ksp_greedy,1.032
n80_mix4L3M3S,46,ocs_eps_preset_greedy,1.021
n80_mix4L3M3S,46,ocs_eps_preset_dynamic_greedy,1.000
n80_mix4L3M3S,46,pure_ocs_3hop_preset,1.043
n80_mix4L3M3S,46,pure_ocs_pruned,1.043
n80_mix4L3M3S,46,ocs_eps_pruned,1.029
n80_mix4L3M3S,47,ocs_eps_global_ksp,1.277
n80_mix4L3M3S,47,pure_ocs_ksp,1.064
n80_mix4L3M3S,47,eps_ecmp,0.986
n80_mix4L3M3S,47,ocs_eps_large_small,1.179
